Customer_ID,Customer_Name,Gender,Age,County,Town,Customer_Segment,Registration_Date
CUST00001,Aisha Kiptoo,Female,30,Kiambu,Ruiru,Retail,2022-11-07
CUST00002,David Kiptoo,Male,27,Nakuru,Nakuru,Retail,2023-08-24
CUST00003,Dennis Wafula,Male,31,Nyeri,Nyeri,Retail,2024-10-16
CUST00004,Joy Mbugua,Female,53,Mombasa,Nyali,Retail,2022-06-20
CUST00005,Mercy Mbugua,Female,18,Nairobi,Westlands,Wholesale,2022-05-03
CUST00006,Esther Akinyi,Female,24,Kisumu,Kisumu,Retail,2023-11-10
CUST00007,Joy Kiptoo,Female,59,Kajiado,Kitengela,Wholesale,2026-06-07
CUST00008,Savannah Solutions,Company,,Nairobi,Kasarani,SME,2022-06-29
CUST00009,Caroline Kiptoo,Male,36,Uasin Gishu,Eldoret,Retail,2022-06-08
CUST00010,Hassan Jepkoech,Female,24,Kajiado,Kitengela,Retail,2023-06-02
CUST00011,Aisha Ochieng,Female,51,Kakamega,Kakamega,Retail,2024-06-22
CUST00012,Dennis Muthoni,Male,32,Nairobi,Kasarani,Retail,2024-11-05
CUST00013,Victor Jepkoech,Female,49,Mombasa,Nyali,Retail,2025-07-20
CUST00014,James Otieno,Female,30,Kiambu,Thika,Wholesale,2025-10-14
CUST00015,Twiga Traders,Company,,Kiambu,Kiambu,SME,2023-03-11
CUST00016,Kevin Karanja,Female,26,Nyeri,Nyeri,Retail,2025-04-10
CUST00017,Caroline Njeri,Female,63,Nairobi,Kasarani,Retail,2025-07-26
CUST00018,Joy Hassan,Male,43,Nairobi,Embakasi,Retail,2023-12-24
CUST00019,Victor Ochieng,Female,29,Kiambu,Kiambu,Retail,2024-07-21
CUST00020,Ali Karanja,Female,63,Mombasa,Nyali,Retail,2023-08-20
CUST00021,Savannah Solutions,Company,,Nairobi,Kasarani,Corporate,2022-12-16
CUST00022,Victor Wambua,Male,52,Nairobi,Lang'ata,Retail,2025-03-17
CUST00023,Samuel Mwangi,Female,40,Mombasa,Likoni,Loyal,2024-06-10
CUST00024,Grace Odhiambo,Male,52,Nairobi,Westlands,Loyal,2022-07-17
CUST00025,Ufanisi Traders,Company,,Machakos,Machakos,SME,2022-04-14
CUST00026,James Njuguna,Male,32,Machakos,Machakos,Retail,2022-11-22
CUST00027,Beatrice Wafula,Female,43,Kakamega,Kakamega,Retail,2022-12-06
CUST00028,Ali Jepkoech,Male,56,Kisumu,Kisumu,Retail,2022-11-27
CUST00029,Samuel Barasa,Male,18,Machakos,Machakos,Retail,2022-02-13
CUST00030,Ali Mutua,Female,58,Kiambu,Thika,Loyal,2024-12-07
CUST00031,Beatrice Hassan,Female,37,Machakos,Machakos,Retail,2022-07-31
CUST00032,Ali Jepkoech,Male,32,Uasin Gishu,Eldoret,Retail,2022-05-10
CUST00033,Sharon Otieno,Male,35,Nairobi,Lang'ata,Retail,2026-05-22
CUST00034,Diana Wambua,Male,44,Kisumu,Kisumu,Retail,2025-01-14
CUST00035,James Kiptoo,Male,48,Mombasa,Nyali,Retail,2023-08-12
CUST00036,Hassan Wekesa,Male,20,Machakos,Machakos,Retail,2022-04-06
CUST00037,Sharon Atieno,Female,60,Meru,Meru,Retail,2022-08-29
CUST00038,Dennis Wekesa,Female,64,Nairobi,Lang'ata,Retail,2026-03-21
CUST00039,Mercy Wekesa,Female,48,Mombasa,Nyali,Loyal,2025-02-05
CUST00040,Aisha Atieno,Male,19,Nairobi,Lang'ata,Loyal,2022-08-06
CUST00041,Ufanisi Enterprises,Company,,Nairobi,Westlands,SME,2026-07-08
CUST00042,Esther Hassan,Female,66,Nakuru,Nakuru,Retail,2023-09-07
CUST00043,Peter Wafula,Male,64,Uasin Gishu,Eldoret,Retail,2022-07-23
CUST00044,Ann Mutua,Male,56,Nairobi,Westlands,Loyal,2023-12-29
CUST00045,Beatrice Odhiambo,Female,30,Nairobi,Lang'ata,Retail,2024-02-03
CUST00046,Caroline Kiptoo,Female,55,Mombasa,Nyali,Retail,2025-06-12
CUST00047,Martin Ochieng,Male,62,Kiambu,Ruiru,Retail,2023-12-07
CUST00048,David Njuguna,Male,36,Nakuru,Nakuru,Loyal,2024-09-03
CUST00049,Mary Wambua,Female,47,Meru,Meru,Retail,2024-09-07
CUST00050,Kevin Kiptoo,Male,30,Machakos,Machakos,Retail,2025-06-25
CUST00051,Lucy Otieno,Female,52,Meru,Meru,Loyal,2023-10-12
CUST00052,Jane Muthoni,Male,37,Nyeri,Nyeri,Retail,2023-12-16
CUST00053,Brian Wafula,Male,28,Kakamega,Kakamega,Retail,2025-07-27
CUST00054,Joy Mwangi,Female,45,Nairobi,Kasarani,Retail,2022-10-09
CUST00055,Joseph Kiptoo,Male,43,Kiambu,Kiambu,Retail,2022-06-06
CUST00056,Brian Kamau,Female,41,Kiambu,Ruiru,Retail,2025-09-08
CUST00057,Ali Kariuki,Male,38,Kiambu,Kiambu,Loyal,2024-07-23
CUST00058,Jane Chebet,Female,45,Kisumu,Kisumu,Retail,2023-03-17
CUST00059,Mwangaza Enterprises,Company,,Mombasa,Likoni,Corporate,2022-07-13
CUST00060,Cynthia Jepkoech,Female,59,Meru,Meru,Retail,2024-12-04
CUST00061,Diana Kamau,Male,32,Nairobi,Westlands,Retail,2025-04-01
CUST00062,Kevin Otieno,Male,24,Kiambu,Kiambu,Retail,2023-02-22
CUST00063,James Karanja,Female,40,Mombasa,Likoni,Retail,2022-11-19
CUST00064,Peter Karanja,Male,48,Mombasa,Nyali,Retail,2025-11-01
CUST00065,Irene Wambua,Female,22,Nairobi,Lang'ata,Loyal,2023-04-16
CUST00066,Irene Wanjiku,Female,56,Nyeri,Nyeri,Retail,2024-09-25
CUST00067,Hassan Kariuki,Male,47,Kiambu,Ruiru,Retail,2025-05-01
CUST00068,Jambo Enterprises,Company,,Kisumu,Kisumu,Corporate,2022-01-26
CUST00069,Mary Barasa,Female,40,Kiambu,Kiambu,Retail,2026-05-20
CUST00070,Kevin Kiprotich,Female,44,Machakos,Machakos,Retail,2026-06-13
CUST00071,Jane Njuguna,Female,26,Nairobi,Kasarani,Retail,2023-05-17
CUST00072,Esther Kiptoo,Male,37,Kiambu,Ruiru,Retail,2024-12-09
